<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ASTR;D;240312;000000;567.95;570.55;564.5;568.8;93339
ASTR;D;240313;000000;568.9;570.1;560.4;563.5;205595
ASTR;D;240314;000000;563.1;563.1;550.75;555.5;292989
ASTR;D;240315;000000;555.4;562.2;553.95;561.3;127793
ASTR;D;240318;000000;564.35;564.95;553.5;563.5;221584
ASTR;D;240319;000000;563.5;572;560.35;564.2;307563
ASTR;D;240320;000000;564.2;576.15;564.2;575.75;235584
ASTR;D;240321;000000;573.2;618;572.7;611;2839663
ASTR;D;240322;000000;614.8;618.75;580.05;596.4;1185197
ASTR;D;240325;000000;598.6;657.5;596.4;650.2;2378115
ASTR;D;240326;000000;660;715.95;651.65;713;5644799
ASTR;D;240327;000000;717.35;722.95;674.8;676;4587398
ASTR;D;240328;000000;675;691.7;658.55;667;1747672
ASTR;D;240329;000000;667.25;697;667.2;694.9;1484208
ASTR;D;240401;000000;700.2;716.3;678.9;693.95;1967740
ASTR;D;240402;000000;697.75;702.2;668.25;681.5;1821565
ASTR;D;240403;000000;689;689.85;669;671.1;700794
ASTR;D;240404;000000;671;682.3;645.05;665.85;1683971
ASTR;D;240405;000000;665.75;678.35;655.6;663.5;567670
ASTR;D;240408;000000;663;671.85;653.25;658.15;502848
ASTR;D;240409;000000;655.7;656.25;612;622.2;3251778
ASTR;D;240410;000000;622.15;644.3;605;636.1;1866456
ASTR;D;240411;000000;636.75;645.05;620;627.05;957362
ASTR;D;240412;000000;625;632.75;617;622.5;630706
ASTR;D;240415;000000;617.9;621.8;606.65;613.5;1411210
ASTR;D;240416;000000;613.4;621.5;607.7;608;1512012
ASTR;D;240417;000000;592;602.65;578.6;581.25;3931344
ASTR;D;240418;000000;574.85;604.9;572;598;5992728
ASTR;D;240419;000000;598;616;581;610.25;11540068
ASTR;D;240422;000000;614.7;639.5;612;636.2;4372099
ASTR;D;240423;000000;638.1;638.9;612.4;617;2096449
ASTR;D;240424;000000;618;628.8;608.2;613.75;1492780
ASTR;D;240425;000000;614.5;625.85;611.4;622.8;952611
ASTR;D;240426;000000;622.85;635;621.2;625.5;1224181
ASTR;D;240427;000000;627;627.55;615.55;617.95;810788
ASTR;D;240429;000000;618.15;623.95;616.85;618.3;329311
ASTR;D;240430;000000;618.3;620;610.1;613.7;497627
ASTR;D;240502;000000;606;628.9;601;628.8;1927018
ASTR;D;240503;000000;629;631.95;616;621;614386
ASTR;D;240506;000000;621;624.75;609.25;611.6;619799
ASTR;D;240507;000000;613;621;609.6;617.25;538017
ASTR;D;240508;000000;617.95;621.75;615.2;616.8;279572
ASTR;D;240510;000000;616.5;624;615.1;622.4;263275
