Symbol;<PER>;Timestamp;<TIME>;Open;High;Low;Close;Volume;Adj Close
ASTR;D;231013;0;466.2;466.2;466.2;466.2;854970;466.2
ASTR;D;231016;0;540;651.7;502;560;19465123;560
ASTR;D;231017;0;569.05;590;524;531.6;5713058;531.6
ASTR;D;231018;0;532;536.3;502.35;506;3328237;506
ASTR;D;231019;0;506.5;514.5;495.15;502.7;1639556;502.7
ASTR;D;231020;0;505.85;506.1;480.1;480.75;1337349;480.75
ASTR;D;231023;0;477;522.8;467;497.7;3649634;497.7
ASTR;D;231024;0;498.25;512.65;495;501;1152589;501
ASTR;D;231025;0;501.5;515;491;505.5;871216;505.5
ASTR;D;231026;0;506.6;521.2;503;503.45;1037134;503.45
ASTR;D;231027;0;503.45;507.75;493.5;499.1;411058;499.1
ASTR;D;231030;0;498.5;500.05;480.2;491;436495;491
ASTR;D;231031;0;490.9;504.7;475.05;488;512451;488
ASTR;D;231101;0;492.05;504.8;488;493.25;321468;493.25
ASTR;D;231102;0;494.8;506;490.4;490.5;516121;490.5
ASTR;D;231103;0;493.25;501.6;491;496;222334;496
ASTR;D;231106;0;497.95;518;496.2;516.95;675611;516.95
ASTR;D;231107;0;518.65;531.9;511;515.15;889812;515.15
ASTR;D;231108;0;515.4;517;507.4;510.25;200461;510.25
ASTR;D;231109;0;508.05;511;500;505.75;201042;505.75
ASTR;D;231110;0;505.75;508.75;496.5;507.05;288442;507.05
ASTR;D;231113;0;508.9;511.75;500;501.5;254349;501.5
ASTR;D;231114;0;501.5;511.9;490;502.85;486605;502.85
ASTR;D;231115;0;502;505.7;497;503.7;255407;503.7
ASTR;D;231116;0;502.5;519.85;500.25;516.45;983018;516.45
ASTR;D;231117;0;516.45;540;509;533.45;1373954;533.45
ASTR;D;231120;0;537.3;550;512;517.15;1584427;517.15
ASTR;D;231121;0;513.5;522;506;515.15;487739;515.15
ASTR;D;231122;0;515.15;516.9;509;513.35;316254;513.35
ASTR;D;231123;0;513.3;513.35;506.05;509.45;283111;509.45
ASTR;D;231124;0;509.85;510.65;501.05;508.2;236089;508.2
ASTR;D;231127;0;507.9;508.15;480;492.5;594441;492.5
ASTR;D;231128;0;492.5;494;481.3;492.45;459836;492.45
ASTR;D;231129;0;492.5;493.9;485;485.65;220172;485.65
ASTR;D;231130;0;487.4;488;478.55;481;285855;481
ASTR;D;231201;0;483.05;483.05;470;476.4;288860;476.4
ASTR;D;231204;0;476;477.95;461;464.4;298726;464.4
ASTR;D;231205;0;465.2;477.95;464.5;477.9;242356;477.9
ASTR;D;231206;0;478.15;480.9;459.05;461.8;346306;461.8
ASTR;D;231207;0;462.6;480;450;467.05;704757;467.05
ASTR;D;231208;0;467.25;473.25;460;461.9;215995;461.9
ASTR;D;231211;0;463.5;468.6;444;450;372393;450
ASTR;D;231212;0;453;454.8;445;450.2;320284;450.2
ASTR;D;231213;0;450;464.5;446.7;463.9;274926;463.9
ASTR;D;231214;0;466.05;477.3;460.3;470;367888;470
ASTR;D;231215;0;470;487.4;458.25;474.7;333778;474.7
ASTR;D;231218;0;476.85;494.3;476.85;493;458726;493
ASTR;D;231219;0;491.5;499.55;487.5;495.9;477519;495.9
ASTR;D;231220;0;499.45;523.7;496.3;517;1006522;517
ASTR;D;231221;0;517.05;519;505.65;511;361810;511
ASTR;D;231222;0;510;523.7;507.7;516.4;228883;516.4
ASTR;D;231225;0;517.4;529.55;507.15;519.3;482279;519.3
ASTR;D;231226;0;519.4;522.8;507.05;510.3;191077;510.3
ASTR;D;231227;0;510.3;512.3;500.4;503.7;167347;503.7
ASTR;D;231228;0;503.75;517;493.05;496.6;230828;496.6
ASTR;D;231229;0;500.1;507.1;497.85;501.5;121790;501.5
ASTR;D;240103;0;506.25;515.9;502.25;513.1;157890;513.1
ASTR;D;240104;0;515.1;516.8;506;512;104876;512
ASTR;D;240105;0;513.1;518.95;508.1;514.6;154934;514.6
ASTR;D;240108;0;514.5;521.6;510.65;520.25;215799;520.25
ASTR;D;240109;0;520.3;541.8;513.3;533;1039219;533
ASTR;D;240110;0;533;544;522.85;525.6;473151;525.6
ASTR;D;240111;0;528.8;531.15;515.25;522.1;359953;522.1
ASTR;D;240112;0;523.5;533.75;516.55;524.9;338186;524.9
ASTR;D;240115;0;529.35;531.8;521;526.55;148245;526.55
ASTR;D;240116;0;526.6;527.85;518;524.05;179474;524.05
ASTR;D;240117;0;524.35;529.6;519.55;525.3;193564;525.3
ASTR;D;240118;0;526.3;528.8;521.6;522.95;146353;522.95
ASTR;D;240119;0;523.2;523.65;516.55;517.85;149199;517.85
ASTR;D;240122;0;520.05;527.45;510.75;526.05;605469;526.05
ASTR;D;240123;0;528.4;548.85;521.9;542.75;1154371;542.75
ASTR;D;240124;0;544.75;546;534.2;542.5;345538;542.5
ASTR;D;240125;0;545.25;547.65;535.65;537.5;284152;537.5
ASTR;D;240126;0;539.75;568.7;535;567.95;1845908;567.95
ASTR;D;240129;0;570;581.7;550.9;561;1636812;561
ASTR;D;240130;0;563.4;567.7;551.2;554.5;471662;554.5
ASTR;D;240131;0;558.05;574;554;563.3;1223890;563.3
ASTR;D;240201;0;565.45;565.5;544.15;553.1;626067;553.1
ASTR;D;240202;0;553.15;557.7;545.75;551.6;246367;551.6
ASTR;D;240205;0;551.75;562;551.6;558.6;229868;558.6
ASTR;D;240206;0;560;563.65;551.65;554.85;274173;554.85
ASTR;D;240207;0;555.5;555.8;547.6;553.9;344073;553.9
ASTR;D;240208;0;555;555.45;541.15;542.75;339832;542.75
ASTR;D;240209;0;542.65;547.65;533;541.05;334815;541.05
ASTR;D;240212;0;543.4;569.85;541.4;569.15;1089131;569.15
ASTR;D;240213;0;568.75;587.7;560.8;569.25;1551147;569.25
ASTR;D;240214;0;571.25;572.5;555.2;560.4;630377;560.4
ASTR;D;240215;0;562.05;564.8;555.05;559.4;262373;559.4
ASTR;D;240216;0;559.5;567.35;556;559.4;339294;559.4
ASTR;D;240219;0;561.1;565;558.2;561.6;178441;561.6
ASTR;D;240220;0;561.6;562.15;541;543.35;421149;543.35
ASTR;D;240221;0;542;551.4;528.5;539.9;313959;539.9
ASTR;D;240222;0;541.7;549;535.55;545;166103;545
ASTR;D;240226;0;547;562.9;547;559.85;235988;559.85
ASTR;D;240227;0;563.05;569.75;555.6;567.15;325007;567.15
ASTR;D;240228;0;568.9;570.7;560;562.7;249315;562.7
ASTR;D;240229;0;562.7;575;562.35;567;439388;567
ASTR;D;240301;0;569.1;578.85;566;572.85;359976;572.85
ASTR;D;240304;0;574.85;584.6;564.8;577.5;531423;577.5
ASTR;D;240305;0;578;580;568;570.15;403472;570.15
ASTR;D;240306;0;572.45;575.75;565.6;566.95;251803;566.95
ASTR;D;240307;0;567.6;574.95;557;573.5;272296;573.5
ASTR;D;240311;0;575.4;579.4;557.7;569.55;215757;569.55
ASTR;D;240312;0;567.95;570.55;564.5;568.8;93339;568.8
ASTR;D;240313;0;568.9;570.1;560.4;563.5;205595;563.5
ASTR;D;240314;0;563.1;563.1;550.75;555.5;292989;555.5
ASTR;D;240315;0;555.4;562.2;553.95;561.3;127793;561.3
ASTR;D;240318;0;564.35;564.95;553.5;563.5;221584;563.5
ASTR;D;240319;0;563.5;572;560.35;564.2;307563;564.2
ASTR;D;240320;0;564.2;576.15;564.2;575.75;235584;575.75
ASTR;D;240321;0;573.2;618;572.7;611;2839663;611
ASTR;D;240322;0;614.8;618.75;580.05;596.4;1185197;596.4
ASTR;D;240325;0;598.6;657.5;596.4;650.2;2378115;650.2
ASTR;D;240326;0;660;715.95;651.65;713;5644799;713
ASTR;D;240327;0;717.35;722.95;674.8;676;4587398;676
ASTR;D;240328;0;675;691.7;658.55;667;1747672;667
ASTR;D;240329;0;667.25;697;667.2;694.9;1484208;694.9
ASTR;D;240401;0;700.2;716.3;678.9;693.95;1967740;693.95
ASTR;D;240402;0;697.75;702.2;668.25;681.5;1821565;681.5
ASTR;D;240403;0;689;689.85;669;671.1;700794;671.1
ASTR;D;240404;0;671;682.3;645.05;665.85;1683971;665.85
ASTR;D;240405;0;665.75;678.35;655.6;663.5;567670;663.5
ASTR;D;240408;0;663;671.85;653.25;658.15;502848;658.15
ASTR;D;240409;0;655.7;656.25;612;622.2;3251778;622.2
ASTR;D;240410;0;622.15;644.3;605;636.1;1866456;636.1
ASTR;D;240411;0;636.75;645.05;620;627.05;957362;627.05
ASTR;D;240412;0;625;632.75;617;622.5;630706;622.5
ASTR;D;240415;0;617.9;621.8;606.65;613.5;1411210;613.5
ASTR;D;240416;0;613.4;621.5;607.7;608;1512012;608
ASTR;D;240417;0;592;602.65;578.6;581.25;3931344;581.25
ASTR;D;240418;0;574.85;604.9;572;598;5992728;598
ASTR;D;240419;0;598;616;581;610.25;11540068;610.25
ASTR;D;240422;0;614.7;639.5;612;636.2;4372099;636.2
ASTR;D;240423;0;638.1;638.9;612.4;617;2096449;617
ASTR;D;240424;0;618;628.8;608.2;613.75;1492780;613.75
ASTR;D;240425;0;614.5;625.85;611.4;622.8;952611;622.8
ASTR;D;240426;0;622.85;635;621.2;625.5;1224181;625.5
ASTR;D;240427;0;627;627.55;615.55;617.95;810788;617.95
ASTR;D;240429;0;618.15;623.95;616.85;618.3;329311;618.3
ASTR;D;240430;0;618.3;620;610.1;613.7;497627;613.7
