<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;240312;000000;150.18;150.78;148.6;150.28;8354900
GMKN;D;240313;000000;150.66;151.68;149.5;149.98;8746400
GMKN;D;240314;000000;150.04;151.5;149.02;150.18;10809500
GMKN;D;240315;000000;150.34;151.2;149.86;150.7;5964600
GMKN;D;240318;000000;151.06;151.5;149.5;149.64;9709900
GMKN;D;240319;000000;149.6;150;147.08;147.76;14349100
GMKN;D;240320;000000;147.8;148.84;145.16;148.04;13644200
GMKN;D;240321;000000;148.42;150.52;146.84;149.3;15657600
GMKN;D;240322;000000;149.36;149.98;147.62;147.98;15192200
GMKN;D;240325;000000;147.98;152.7;146.88;151.38;15899700
GMKN;D;240326;000000;151.66;153.14;150.16;151.36;12154700
GMKN;D;240327;000000;151.62;153.22;151.24;153;9877400
GMKN;D;240328;000000;153.22;153.58;151.2;152.08;7534300
GMKN;D;240329;000000;152.5;152.5;151;151.1;6927400
GMKN;D;240401;000000;151.14;152.08;150.48;150.54;6300600
GMKN;D;240408;000000;152.52;156.38;152.12;152.96;22159520
GMKN;D;240409;000000;152.86;164;152.54;164;57170440
GMKN;D;240410;000000;164.02;165.8;161.1;163.3;35625760
GMKN;D;240411;000000;163.56;164.6;160.3;161.48;14828650
GMKN;D;240412;000000;161.98;167.48;161.64;164.8;34496960
GMKN;D;240415;000000;164.8;164.98;160.42;162.34;23976430
GMKN;D;240416;000000;162.3;162.3;158.24;158.92;19737090
GMKN;D;240417;000000;158.4;160.38;158.4;159.42;8969000
GMKN;D;240418;000000;159.42;160.76;157.44;158.62;5668870
GMKN;D;240419;000000;158.76;160.4;158.4;158.66;7115680
GMKN;D;240422;000000;158.48;160.88;157.64;159.3;9141350
GMKN;D;240423;000000;159.4;159.74;156.4;156.58;9054240
GMKN;D;240424;000000;156.52;157.84;155.14;155.82;7745140
GMKN;D;240425;000000;155.52;158;155.28;157.52;5798810
GMKN;D;240426;000000;157.58;157.86;155;156.54;5159170
GMKN;D;240427;000000;156.8;157;155.8;156.04;3345900
GMKN;D;240429;000000;156.4;156.9;153.9;155.16;4595360
GMKN;D;240430;000000;155.26;155.26;153.12;153.9;2881930
GMKN;D;240502;000000;153.9;156.88;153.68;154.48;5682310
GMKN;D;240503;000000;154.44;155.38;153.4;154.4;5293560
GMKN;D;240506;000000;154.42;156.8;153.1;155.8;8649630
GMKN;D;240507;000000;155.74;156.46;153.7;154.44;5886660
GMKN;D;240508;000000;154.54;154.7;153.5;153.82;4691600
GMKN;D;240510;000000;153.98;154.64;152.46;152.78;6040000
