Symbol;<PER>;Timestamp;<TIME>;Open;High;Low;Close;Volume;Adj Close
GMKN;D;200430;0;207.24;208.76;203.06;204.78;22750900;204.78
GMKN;D;200504;0;202.44;202.92;198.66;201.26;19236200;201.26
GMKN;D;200505;0;203.02;204.52;199.58;200.34;14515600;200.34
GMKN;D;200506;0;201.28;203.34;199.2;199.4;20688900;199.4
GMKN;D;200507;0;199.86;203.24;199.62;202.24;25183200;202.24
GMKN;D;200508;0;203.2;203.7;201.3;201.44;12843500;201.44
GMKN;D;200512;0;203.58;211.26;202.76;210.16;41460200;210.16
GMKN;D;200513;0;209.12;209.74;206.5;207.62;22841500;207.62
GMKN;D;200514;0;206.8;208.62;200;201.04;28575500;201.04
GMKN;D;200515;0;203.4;207.54;202.06;202.06;23857300;202.06
GMKN;D;200518;0;206.24;215;205.5;214.74;35217200;214.74
GMKN;D;200519;0;215.52;219.7;213.6;219.2;34889800;219.2
GMKN;D;200520;0;219.22;231.58;218.02;229.52;41932000;229.52
GMKN;D;200521;0;229.52;231.5;224.52;225.36;37313000;225.36
GMKN;D;200522;0;217.88;223.88;215.24;220.02;34274800;220.02
GMKN;D;200525;0;220;224.18;217.86;223.94;18680200;223.94
GMKN;D;200526;0;226.2;228.4;220.34;221.18;22472600;221.18
GMKN;D;200527;0;220.78;226.8;217.24;221.1;31357800;221.1
GMKN;D;200528;0;222.52;226.14;221.88;225.44;24341000;225.44
GMKN;D;200529;0;224.76;224.78;220.12;221.1;33305700;221.1
GMKN;D;200601;0;223.78;224.12;218.26;220.26;23475600;220.26
GMKN;D;200602;0;221.2;223.6;219.12;222.2;29298500;222.2
GMKN;D;200603;0;223.66;223.94;217;218.24;37657700;218.24
GMKN;D;200604;0;215.66;216.14;197.38;200;170324000;200
GMKN;D;200605;0;201.1;208.16;199.5;204;120368600;204
GMKN;D;200608;0;205.1;208.44;201.5;205.02;49783800;205.02
GMKN;D;200609;0;205.3;206.42;201.02;202.48;28372000;202.48
GMKN;D;200610;0;203.2;203.6;198.7;202.4;41642700;202.4
GMKN;D;200611;0;199.48;200;191.34;194.82;81603100;194.82
GMKN;D;200615;0;191.88;191.88;187.12;190.58;46653600;190.58
GMKN;D;200616;0;193.7;199.12;193;194.72;44310800;194.72
GMKN;D;200617;0;195.16;196.32;191.74;192.56;28568000;192.56
GMKN;D;200618;0;192.56;192.56;187.8;189.26;37090600;189.26
GMKN;D;200619;0;190.36;194.14;189.2;190.04;39289600;190.04
GMKN;D;200622;0;189.8;191.5;186.44;191.22;24504000;191.22
GMKN;D;200623;0;190.16;197.5;190.16;196.36;36817600;196.36
GMKN;D;200625;0;194.02;198.92;192.34;198.5;35048000;198.5
GMKN;D;200626;0;198.98;201.42;195.46;196.78;27199500;196.78
GMKN;D;200629;0;195.98;195.98;189.86;191.96;45010300;191.96
GMKN;D;200630;0;191.94;192.38;186.5;187.84;45450700;187.84
GMKN;D;200702;0;187.26;188.98;185.3;187.54;36874600;187.54
GMKN;D;200703;0;187.5;191.18;187.26;190;23843000;190
GMKN;D;200706;0;192.04;193.78;178.96;182.6;87204400;182.6
GMKN;D;200707;0;179.5;187.1;179.26;185.74;52545500;185.74
GMKN;D;200708;0;186.22;190.36;185.7;189.7;35082900;189.7
GMKN;D;200709;0;190.04;190.78;184.22;185.96;41726600;185.96
GMKN;D;200710;0;184.72;187.12;184.02;185.5;23408600;185.5
GMKN;D;200713;0;184.46;185.22;179.02;179.46;50666300;179.46
GMKN;D;200714;0;178.74;178.9;173.5;178.26;54388600;178.26
GMKN;D;200715;0;178.62;181.94;176.92;179.78;34403800;179.78
GMKN;D;200716;0;178.38;182.22;177.28;181.12;25486500;181.12
GMKN;D;200717;0;181.02;183.78;181.02;183.5;19600600;183.5
GMKN;D;200720;0;183.44;184.64;181.42;183.94;22788900;183.94
GMKN;D;200721;0;184.3;186.86;183.2;183.8;35814900;183.8
GMKN;D;200722;0;184;184;180.78;182.34;28352800;182.34
GMKN;D;200723;0;182.96;189.78;182.36;187.24;46892600;187.24
GMKN;D;200724;0;187.08;190.94;184.88;190.6;36050000;190.6
GMKN;D;200727;0;191.94;197.96;191.28;197.9;42039600;197.9
GMKN;D;200728;0;198.04;198.26;195.1;196.18;25379000;196.18
GMKN;D;200729;0;196.1;199.32;194.02;198.08;31090000;198.08
GMKN;D;200730;0;197.04;198.08;195.1;196.2;26107600;196.2
GMKN;D;200731;0;196.88;199.24;195.3;196.5;20207900;196.5
GMKN;D;200803;0;196.3;201.28;194.56;200.18;28395800;200.18
GMKN;D;200804;0;200.86;204.14;199.36;203.98;26550800;203.98
GMKN;D;200805;0;204.38;209.44;203.9;208.86;35224300;208.86
GMKN;D;200806;0;209.02;210;207.12;208.42;22524800;208.42
GMKN;D;200807;0;207.8;208;202.32;204.38;29279300;204.38
GMKN;D;200810;0;203.9;206.98;202.96;206.12;21077200;206.12
GMKN;D;200811;0;205.84;208.34;203.52;204.26;42367400;204.26
GMKN;D;200812;0;204.18;208.22;203.08;207.7;33484700;207.7
GMKN;D;200813;0;207.88;211.36;206.78;209.3;38594300;209.3
GMKN;D;200814;0;208.68;209.3;206.1;207.86;17370900;207.86
GMKN;D;200817;0;208.42;210.98;205.4;207.1;28905100;207.1
GMKN;D;200818;0;206.74;209.18;205.04;207.98;21437200;207.98
GMKN;D;200819;0;207.56;208.2;204.5;205;28607600;205
GMKN;D;200820;0;204.36;204.36;198.08;199.88;43803200;199.88
GMKN;D;200821;0;200.34;201.34;195.7;199.42;30955100;199.42
