<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;240312;000000;7536;7575.5;7481.5;7536.5;1106207
LKOH;D;240313;000000;7537.5;7554.5;7409.5;7426;1229707
LKOH;D;240314;000000;7426.5;7434.5;7320;7370;1388399
LKOH;D;240315;000000;7365.5;7404;7336.5;7380;785928
LKOH;D;240318;000000;7393.5;7397.5;7309.5;7344;599138
LKOH;D;240319;000000;7348.5;7348.5;7250;7333.5;1160862
LKOH;D;240320;000000;7337.5;7460;7337.5;7438.5;1157333
LKOH;D;240321;000000;7450;7454.5;7370;7417.5;646582
LKOH;D;240322;000000;7420.5;7538;7184.5;7303;3496505
LKOH;D;240325;000000;7306;7452;7303;7438;873744
LKOH;D;240326;000000;7455;7455;7380;7419;560527
LKOH;D;240327;000000;7425.5;7497;7404.5;7493;519597
LKOH;D;240328;000000;7495;7517;7430.5;7481;497720
LKOH;D;240329;000000;7482;7578;7460;7551;704938
LKOH;D;240401;000000;7574;7666;7573;7665;740045
LKOH;D;240402;000000;7675.5;7689;7625;7654;382453
LKOH;D;240403;000000;7654;7699;7641;7686.5;316041
LKOH;D;240404;000000;7687.5;7783.5;7678;7727.5;737851
LKOH;D;240405;000000;7732;7777.5;7654;7662.5;1057336
LKOH;D;240408;000000;7700;7777;7662.5;7767;657279
LKOH;D;240409;000000;7769;7844;7740;7786.5;853846
LKOH;D;240410;000000;7800;7837;7755;7825;386605
LKOH;D;240411;000000;7830;7870;7827;7836.5;412878
LKOH;D;240412;000000;7840;7865;7785;7839.5;477383
LKOH;D;240415;000000;7852.5;7931;7849.5;7920.5;542040
LKOH;D;240416;000000;7926.5;7926.5;7870;7897;413353
LKOH;D;240417;000000;7897.5;7918;7855.5;7886;442141
LKOH;D;240418;000000;7887;7897.5;7800;7840;538963
LKOH;D;240419;000000;7860;7868.5;7790;7835.5;633337
LKOH;D;240422;000000;7836;7878;7803;7827.5;668215
LKOH;D;240423;000000;7846;7886.5;7806;7840;512848
LKOH;D;240424;000000;7846.5;7854;7803.5;7820.5;349160
LKOH;D;240425;000000;7820.5;7831.5;7809.5;7827.5;306205
LKOH;D;240426;000000;7828;7940;7810;7929.5;776559
LKOH;D;240427;000000;7931;8018.5;7931;8002.5;654038
LKOH;D;240429;000000;8017.5;8161.5;8016;8152;600543
LKOH;D;240430;000000;8152.5;8175;8080;8085.5;433935
LKOH;D;240502;000000;8096.5;8125;8037;8104.5;563870
LKOH;D;240503;000000;8096.5;8100;8010;8075.5;569435
LKOH;D;240506;000000;8075;8089;7901;8026.5;2567901
LKOH;D;240507;000000;7593.5;7763.5;7574;7722.5;2387226
LKOH;D;240508;000000;7754;7772;7691;7714;681279
LKOH;D;240510;000000;7720.5;7726;7710;7713.5;217627
