Symbol;<PER>;Timestamp;<TIME>;Open;High;Low;Close;Volume;Adj Close
MGNT;D;200430;0;3479;3705;3468;3690;1484139;3690
MGNT;D;200504;0;3677.5;3858;3612;3760;1340370;3760
MGNT;D;200505;0;3782.5;3824.5;3664.5;3702;661431;3702
MGNT;D;200506;0;3708.5;3740;3661;3690;675492;3690
MGNT;D;200507;0;3691.5;3731;3673;3694;483755;3694
MGNT;D;200508;0;3699.5;3710;3640.5;3663;291016;3663
MGNT;D;200512;0;3663;3667.5;3573;3575.5;535623;3575.5
MGNT;D;200513;0;3569.5;3647.5;3518;3631;546151;3631
MGNT;D;200514;0;3610;3634.5;3507;3508;621758;3508
MGNT;D;200515;0;3531;3578;3520.5;3544.5;308703;3544.5
MGNT;D;200518;0;3570;3634;3551.5;3619.5;522604;3619.5
MGNT;D;200519;0;3640;3677;3583;3657;352357;3657
MGNT;D;200520;0;3658;3686;3633;3640;400697;3640
MGNT;D;200521;0;3643;3657.5;3592.5;3600;345079;3600
MGNT;D;200522;0;3589;3621;3566;3616;208008;3616
MGNT;D;200525;0;3622;3647;3614.5;3635;119457;3635
MGNT;D;200526;0;3649;3657;3581.5;3615.5;365782;3615.5
MGNT;D;200527;0;3615.5;3779;3608.5;3744.5;856327;3744.5
MGNT;D;200528;0;3763.5;3833;3735;3827;502375;3827
MGNT;D;200529;0;3818;3833;3728;3740;518322;3740
MGNT;D;200601;0;3754;3873;3753;3832;428320;3832
MGNT;D;200602;0;3852;3908;3823.5;3899.5;590579;3899.5
MGNT;D;200603;0;3915;3934.5;3812;3869;529011;3869
MGNT;D;200604;0;3869;3887;3789.5;3836;632588;3836
MGNT;D;200605;0;3840.5;3867;3815;3846;300224;3846
MGNT;D;200608;0;3863;3989;3855;3950;622249;3950
MGNT;D;200609;0;3969;3997;3916.5;3929;367852;3929
MGNT;D;200610;0;3933;4050;3911;3995;805517;3995
MGNT;D;200611;0;3955;4104;3930;4004;786098;4004
MGNT;D;200615;0;3984.5;4060;3924.5;3985.5;606762;3985.5
MGNT;D;200616;0;4010;4043.5;3945;3950;409007;3950
MGNT;D;200617;0;3969.5;3990;3904;3945;542551;3945
MGNT;D;200618;0;3805;3847;3791;3820;725669;3820
MGNT;D;200619;0;3840.5;3980;3832;3980;867710;3980
MGNT;D;200622;0;3960;4086;3907;4076;655479;4076
MGNT;D;200623;0;4083;4204.5;4083;4115;715543;4115
MGNT;D;200625;0;4098.5;4167;4066;4140.5;870462;4140.5
MGNT;D;200626;0;4145;4224;4134.5;4180.5;558665;4180.5
MGNT;D;200629;0;4182.5;4208.5;4114;4156.5;332486;4156.5
MGNT;D;200630;0;4153.5;4174.5;4020.5;4035;439418;4035
MGNT;D;200702;0;4054;4218;4047;4202;514032;4202
MGNT;D;200703;0;4205;4234.5;4179;4222;287251;4222
MGNT;D;200706;0;4236;4374;4236;4332;494536;4332
MGNT;D;200707;0;4322.5;4334;4235.5;4242;599546;4242
MGNT;D;200708;0;4240;4276.5;4184;4225;364001;4225
MGNT;D;200709;0;4224;4385;4224;4337;674716;4337
MGNT;D;200710;0;4320;4377;4272.5;4307;519649;4307
MGNT;D;200713;0;4315.5;4357.5;4274;4291;327645;4291
MGNT;D;200714;0;4305.5;4307;4125;4259.5;403736;4259.5
MGNT;D;200715;0;4264.5;4333;4237.5;4298;278935;4298
MGNT;D;200716;0;4285;4360.5;4218;4303.5;361755;4303.5
MGNT;D;200717;0;4300.5;4328.5;4264;4302;176026;4302
MGNT;D;200720;0;4299;4495;4276.5;4476.5;570102;4476.5
MGNT;D;200721;0;4487;4662.5;4480;4648;717238;4648
MGNT;D;200722;0;4647;4756;4610.5;4690;859724;4690
MGNT;D;200723;0;4700;4756;4675.5;4720;648464;4720
MGNT;D;200724;0;4717;4804.5;4692.5;4782.5;464885;4782.5
MGNT;D;200727;0;4794;4854.5;4680;4752;554837;4752
MGNT;D;200728;0;4755;4795;4713.5;4768;303507;4768
MGNT;D;200729;0;4762;4788;4600;4698;815281;4698
MGNT;D;200730;0;4707;4775;4622;4675.5;499186;4675.5
MGNT;D;200731;0;4652.5;4686.5;4555;4586;545908;4586
MGNT;D;200803;0;4586;4668;4574;4614;440772;4614
MGNT;D;200804;0;4630;4665;4600.5;4658.5;276765;4658.5
MGNT;D;200805;0;4666;4705.5;4591.5;4632;333049;4632
MGNT;D;200806;0;4630.5;4635;4572.5;4606.5;321495;4606.5
MGNT;D;200807;0;4603;4627;4534;4618;309905;4618
MGNT;D;200810;0;4622;4675;4577;4613.5;263586;4613.5
MGNT;D;200811;0;4613;4655;4563.5;4622;368984;4622
MGNT;D;200812;0;4636;4646;4581;4619.5;343556;4619.5
