<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;D;240312;000000;1397.2;1423.8;1389.4;1417.8;1961491
NVTK;D;240313;000000;1419.4;1426.8;1401;1406.6;1289937
NVTK;D;240314;000000;1406.8;1408.6;1377;1399.8;1160597
NVTK;D;240315;000000;1401;1408.4;1395.8;1400;549478
NVTK;D;240318;000000;1400.2;1415;1397.8;1404.6;711663
NVTK;D;240319;000000;1405;1408;1362.2;1370.8;1963581
NVTK;D;240320;000000;1380;1386.6;1350;1369.6;2259635
NVTK;D;240321;000000;1374.8;1385;1354.6;1360.8;2264125
NVTK;D;240322;000000;1363;1368;1335.2;1346;1831436
NVTK;D;240325;000000;1356.4;1367;1342.2;1365.4;2455612
NVTK;D;240326;000000;1322.8;1333.8;1311;1316.8;2673227
NVTK;D;240327;000000;1318.4;1319.8;1303.4;1304.6;1500328
NVTK;D;240328;000000;1305.6;1322;1303.4;1318.4;1382478
NVTK;D;240329;000000;1322.2;1329;1312;1312.6;992686
NVTK;D;240401;000000;1315.4;1320;1310;1316.6;1199515
NVTK;D;240402;000000;1313.8;1314.6;1272.6;1283.2;3319873
NVTK;D;240403;000000;1283;1290.2;1264.2;1287;2852070
NVTK;D;240404;000000;1290.6;1321;1289.6;1297.4;4445794
NVTK;D;240405;000000;1298.6;1306.8;1277;1283.8;1900626
NVTK;D;240408;000000;1286.6;1303.2;1278.8;1283.6;1375014
NVTK;D;240409;000000;1284;1287.8;1270;1274;1211554
NVTK;D;240410;000000;1274.8;1287.8;1267;1277.2;1316360
NVTK;D;240411;000000;1279.6;1288;1278;1283.2;978950
NVTK;D;240412;000000;1284.2;1295.2;1281;1283;1143104
NVTK;D;240415;000000;1284;1310;1284;1301;1584351
NVTK;D;240416;000000;1305;1305;1283.2;1292.8;970967
NVTK;D;240417;000000;1294;1295.2;1276.2;1283.8;1139422
NVTK;D;240418;000000;1284;1286.8;1275.4;1279.2;687170
NVTK;D;240419;000000;1282;1283.4;1274.2;1276.2;725626
NVTK;D;240422;000000;1271.6;1277.4;1260.6;1264.4;1707668
NVTK;D;240423;000000;1267.2;1269;1246.4;1249.8;1879700
NVTK;D;240424;000000;1249.8;1258.6;1247.2;1251.4;1203909
NVTK;D;240425;000000;1251.4;1254;1237.6;1239.6;1143441
NVTK;D;240426;000000;1242.2;1249.6;1234;1236.6;855937
NVTK;D;240427;000000;1236.8;1242;1227;1229;713273
NVTK;D;240429;000000;1229.6;1234.2;1227;1228.6;349058
NVTK;D;240430;000000;1230.8;1238.4;1229.2;1235.2;516425
NVTK;D;240502;000000;1236.6;1237.4;1227;1231;762641
NVTK;D;240503;000000;1231;1246.2;1231;1231.6;869986
NVTK;D;240506;000000;1236;1237.4;1221.2;1221.4;788881
NVTK;D;240507;000000;1222;1242;1221.4;1239.2;790910
NVTK;D;240508;000000;1241.8;1242.6;1225;1227.2;835308
NVTK;D;240510;000000;1229.8;1234;1228;1229.2;302550
