<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;240312;000000;11700;11753;11555;11646;87407
PLZL;D;240313;000000;11653.5;11935.5;11625;11870;118514
PLZL;D;240314;000000;11868;11929;11713;11752.5;125268
PLZL;D;240315;000000;11752.5;11876;11750;11760;98696
PLZL;D;240318;000000;11780.5;11789;11572.5;11673;88412
PLZL;D;240319;000000;11626;11733;11469.5;11534;104080
PLZL;D;240320;000000;11557.5;11825;11371.5;11759.5;125597
PLZL;D;240321;000000;11851;11936;11632;11666;168468
PLZL;D;240322;000000;11660;11680.5;11253.5;11406;192866
PLZL;D;240325;000000;11410;11519;11275.5;11481;124500
PLZL;D;240326;000000;11530;11666.5;11465.5;11573.5;94970
PLZL;D;240327;000000;11590;11628.5;11400;11523;145322
PLZL;D;240328;000000;11564.5;11749.5;11470;11716.5;139572
PLZL;D;240329;000000;11749.5;12047.5;11728;11985;308199
PLZL;D;240401;000000;12157.5;12497.5;12103.5;12450;403393
PLZL;D;240402;000000;12490;13000;12490;13000;410480
PLZL;D;240403;000000;13076.5;13480;13002.5;13313.5;531309
PLZL;D;240404;000000;13315;13334.5;13032.5;13105;242245
PLZL;D;240405;000000;13002;13420;12750;13363.5;530536
PLZL;D;240408;000000;13494;13729;13265;13455;298405
PLZL;D;240409;000000;13480.5;13984;13433;13920;474439
PLZL;D;240410;000000;13985;13986;13661;13710.5;217248
PLZL;D;240411;000000;13711;14180;13710.5;14158;244692
PLZL;D;240412;000000;14221.5;14831.5;14213;14562.5;864458
PLZL;D;240415;000000;14618.5;14698.5;14241;14569.5;412564
PLZL;D;240416;000000;14580;14600;14392;14469;176163
PLZL;D;240417;000000;14462;14479.5;14130.5;14130.5;203179
PLZL;D;240418;000000;14150;14298;14080;14235;113771
PLZL;D;240419;000000;14292.5;14427.5;14173;14253.5;109057
PLZL;D;240422;000000;14120.5;14134.5;13775;13861;258075
PLZL;D;240423;000000;13700.5;13794;13500;13600;247185
PLZL;D;240424;000000;13650;13688;13308.5;13311;172875
PLZL;D;240425;000000;13351;13678;13311;13592;203289
PLZL;D;240426;000000;13637.5;13882.5;13620.5;13784.5;142037
PLZL;D;240427;000000;13804.5;13845;13628.5;13712.5;65678
PLZL;D;240429;000000;13709.5;13709.5;13511.5;13577.5;56904
PLZL;D;240430;000000;13530.5;13540.5;13179;13226;127936
PLZL;D;240502;000000;13330;13378;13187;13301;99800
PLZL;D;240503;000000;13294.5;13327.5;13017.5;13202.5;134739
PLZL;D;240506;000000;13259.5;13669;13251;13635;178579
PLZL;D;240507;000000;13641;13647;13420;13515;92499
PLZL;D;240508;000000;13540;13620;13445.5;13489;51352
PLZL;D;240510;000000;13681;14050;13678.5;13910;201314
