<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;240312;000000;299.54;301.07;297.34;300.9;28579520
SBER;D;240313;000000;301.2;301.49;298.7;298.85;23980400
SBER;D;240314;000000;298.47;298.7;295.14;295.83;42076250
SBER;D;240315;000000;295.75;299.44;295.29;298.3;26002750
SBER;D;240318;000000;299.41;299.98;297.63;298.87;20213950
SBER;D;240319;000000;298.3;299.4;294.21;295.2;59646690
SBER;D;240320;000000;295.4;296.88;293.52;295.4;30646650
SBER;D;240321;000000;295.95;297.3;291.8;295.62;70581560
SBER;D;240322;000000;295.77;296.79;291.05;292.99;48966360
SBER;D;240325;000000;294;294.93;292.13;293.9;25449910
SBER;D;240326;000000;294.44;295.82;293.04;294.11;16268420
SBER;D;240327;000000;294.45;295.11;293.47;295.1;14531720
SBER;D;240328;000000;295.51;299.3;295.51;299;33617440
SBER;D;240329;000000;299.37;299.5;298;298.72;17644190
SBER;D;240401;000000;299.99;301.65;299.5;300.43;28378290
SBER;D;240402;000000;300.42;300.99;298.95;300.38;19900790
SBER;D;240403;000000;300.39;307.13;300.17;306.72;58210390
SBER;D;240404;000000;306.8;307.77;304.36;304.61;29046010
SBER;D;240405;000000;304.65;306.5;303.7;306.1;19315070
SBER;D;240408;000000;306.5;308.6;306.22;307.75;24816860
SBER;D;240409;000000;308.1;309.35;305.51;306.76;31960600
SBER;D;240410;000000;306.76;307.14;304.62;306.48;20618060
SBER;D;240411;000000;306.64;308;305.7;306.95;20511760
SBER;D;240412;000000;307.41;307.87;306.3;307.1;16001210
SBER;D;240415;000000;307.4;308.39;306.64;307.99;20711610
SBER;D;240416;000000;308;308.65;307;308.29;17030710
SBER;D;240417;000000;308.64;309.74;305.91;306.59;28070320
SBER;D;240418;000000;306.02;308.29;305.05;307.99;20296500
SBER;D;240419;000000;308.02;308.38;306.8;307.38;14563250
SBER;D;240422;000000;307.99;315;307.38;314.99;68916500
SBER;D;240423;000000;315.3;315.79;306.26;307.39;92606890
SBER;D;240424;000000;307.52;309.79;306.65;307.94;26515970
SBER;D;240425;000000;307.96;309.07;307.45;308.41;15934990
SBER;D;240426;000000;308.5;309.9;308;309;21126710
SBER;D;240427;000000;309.2;309.99;308.7;308.98;13089900
SBER;D;240429;000000;309.13;309.6;307.65;308.97;10004910
SBER;D;240430;000000;309.19;309.49;308.03;308.24;5969290
SBER;D;240502;000000;308.71;309.19;306.8;307.37;16246440
SBER;D;240503;000000;307.16;308.29;304.34;307.53;30440790
SBER;D;240506;000000;308.08;308.09;305.55;306.01;19100370
SBER;D;240507;000000;306.25;308.87;306.21;308.22;16606530
SBER;D;240508;000000;308.41;311.83;308.08;311.21;33875380
SBER;D;240510;000000;311.49;313.5;311.31;313.49;16675700
