<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;D;240312;000000;3549.2;3549.2;3487.6;3499.6;945758
YNDX;D;240313;000000;3499.8;3610;3488;3588.6;1749114
YNDX;D;240314;000000;3589;3631.8;3550;3598.8;1551185
YNDX;D;240315;000000;3602.2;3667.8;3571.4;3635.6;1780247
YNDX;D;240318;000000;3620;3708.8;3595;3686.2;1630156
YNDX;D;240319;000000;3687;3859.4;3683.2;3797;4106947
YNDX;D;240320;000000;3815;3972.6;3810;3948;3667238
YNDX;D;240321;000000;3953;4004.8;3842.4;3882;3385416
YNDX;D;240322;000000;3884.8;3944.6;3800;3834;2438389
YNDX;D;240325;000000;3848.6;4025;3845.2;4024.6;1933023
YNDX;D;240326;000000;4036.2;4080;3985;4018.8;1517670
YNDX;D;240327;000000;4024;4033.4;3986.6;4007.2;727700
YNDX;D;240328;000000;4014.8;4050;3983.4;4003.8;644990
YNDX;D;240329;000000;4015;4015;3973.2;3994;647215
YNDX;D;240401;000000;4020;4055;3940.2;3975;1212148
YNDX;D;240402;000000;3980;3992.4;3735.8;3868;4565829
YNDX;D;240403;000000;3880;3936.4;3820.8;3920.2;964379
YNDX;D;240404;000000;3930.8;3985;3918;3960;717536
YNDX;D;240405;000000;3963.2;4007;3949.6;3995;548627
YNDX;D;240408;000000;4010.6;4010.8;3878.4;3959;1449407
YNDX;D;240409;000000;3957;3965.8;3926.4;3954.6;576477
YNDX;D;240410;000000;3950;4007.8;3935;3980;536130
YNDX;D;240411;000000;3989;3995;3935;3946;378927
YNDX;D;240412;000000;3944.4;3999.8;3944;3990;411133
YNDX;D;240415;000000;3987.8;4076.2;3942;4046;1088093
YNDX;D;240416;000000;4050;4077;4014.6;4049.6;384269
YNDX;D;240417;000000;4052;4200;4052;4199.8;1598948
YNDX;D;240418;000000;4200;4222;4143.2;4193;716187
YNDX;D;240419;000000;4195;4269;4156.8;4257.2;785405
YNDX;D;240422;000000;4264.6;4348.6;4069.2;4290.2;2290103
YNDX;D;240423;000000;4290.2;4299;4152.6;4172.2;814720
YNDX;D;240424;000000;4164.2;4184.6;4087.4;4111.8;903071
YNDX;D;240425;000000;4107.2;4184.6;4020.2;4164.6;1436605
YNDX;D;240426;000000;4164.8;4251;4101.2;4231.6;1018736
YNDX;D;240427;000000;4231.6;4260.4;4120.4;4160.2;844865
YNDX;D;240429;000000;4160.2;4180;4113.6;4173.4;304942
YNDX;D;240430;000000;4174;4174.4;4130.6;4149.6;103507
YNDX;D;240502;000000;4149.8;4195;4114.8;4177;383942
YNDX;D;240503;000000;4182;4246.4;4125.6;4236.4;401425
YNDX;D;240506;000000;4250.6;4313.4;4237;4274;534477
YNDX;D;240507;000000;4274;4371;4242.8;4356;647231
YNDX;D;240508;000000;4359.8;4390;4274;4310;631037
YNDX;D;240510;000000;4319.2;4360;4301.2;4356.2;180545
